name,manufacturer,year,age,kilometerage,engine,transmission,price
Vauxhall Astra,VAUXHALL,2009,16,143223.2133,Petrol,Manual,1650
Peugeot 3008,PEUGEOT,2009,16,143223.2133,Petrol,Manual,1650
Mercedes-Benz Vito,MERCEDES-BENZ,2009,16,143223.2133,Petrol,Manual,1666
Vauxhall Corsa,VAUXHALL,2009,16,143223.2133,Petrol,Manual,1669
Volkswagen Beetle,VOLKSWAGEN,2009,16,143223.2133,Petrol,Manual,1675
Vauxhall Corsa,VAUXHALL,2006,19,228526.28,Diesel,Manual,1689
Ford Fusion,FORD,2006,19,228526.28,Diesel,Manual,1689
Ford Fiesta,FORD,2006,19,228526.28,Diesel,Manual,1689
Vauxhall Meriva,VAUXHALL,2006,19,228526.28,Diesel,Manual,1690
Skoda Roomster,SKODA,2006,19,228526.28,Diesel,Manual,1690
Kia Rio,KIA,2006,19,228526.28,Diesel,Manual,1690
Land Rover Freelander,LAND ROVER,2006,19,228526.28,Diesel,Manual,1690
Audi A3 Cabriolet,AUDI,2006,19,228526.28,Diesel,Manual,1690
Citroen Ds3,CITROEN,2006,19,228526.28,Diesel,Manual,1690
Renault Clio,RENAULT,2006,19,228526.28,Diesel,Manual,1690
Volkswagen Golf,VOLKSWAGEN,2006,19,228526.28,Diesel,Manual,1690
Vauxhall Corsa,VAUXHALL,2006,19,228526.28,Diesel,Manual,1690
Toyota Yaris,TOYOTA,2006,19,228526.28,Diesel,Manual,1690
Peugeot 308,PEUGEOT,2006,19,228526.28,Diesel,Manual,1690
Ford Mondeo,FORD,2006,19,228526.28,Diesel,Manual,1690
Ford Fiesta,FORD,2006,19,228526.28,Diesel,Manual,1695
Bmw 5 Series,BMW,2006,19,228526.28,Diesel,Manual,1695
Renault Megane,RENAULT,2006,19,199558.16,Diesel,Manual,1695
Nissan Pixo,NISSAN,2006,19,199558.16,Diesel,Manual,1695
Peugeot Expert,PEUGEOT,2006,19,199558.16,Diesel,Manual,1695
Vauxhall Corsa,VAUXHALL,2006,19,199558.16,Diesel,Manual,1695
Fiat Panda,FIAT,2006,19,199558.16,Diesel,Manual,1695
Nissan Note,NISSAN,2006,19,199558.16,Diesel,Manual,1695
Vauxhall Astra,VAUXHALL,2006,19,199558.16,Diesel,Manual,1695
Volkswagen Polo,VOLKSWAGEN,2006,19,199558.16,Diesel,Manual,1695
Peugeot 308,PEUGEOT,2006,19,199558.16,Diesel,Manual,1695
Ford Ka,FORD,2006,19,199558.16,Diesel,Manual,1695
Kia Soul,KIA,2006,19,199558.16,Diesel,Manual,1695
Bmw 1 Series,BMW,2006,19,199558.16,Diesel,Manual,1695
Renault Clio,RENAULT,2007,18,246229.02,Diesel,Manual,1695
Ford Focus,FORD,2007,18,246229.02,Diesel,Manual,1695
Seat Leon,SEAT,2007,18,246229.02,Diesel,Manual,1695
Volkswagen Polo,VOLKSWAGEN,2007,18,246229.02,Diesel,Manual,1695
Nissan Micra,NISSAN,2007,18,246229.02,Diesel,Manual,1695
Toyota Yaris,TOYOTA,2007,18,246229.02,Diesel,Manual,1695
Hyundai I20,HYUNDAI,2007,18,246229.02,Diesel,Manual,1695
Renault Megane,RENAULT,2007,18,246229.02,Diesel,Manual,1695
Ford Fiesta,FORD,2007,18,246229.02,Diesel,Manual,1695
Toyota Avensis,TOYOTA,2007,18,246229.02,Diesel,Manual,1695
Citroen C3 Picasso,CITROEN,2007,18,246229.02,Diesel,Manual,1695
Kia Venga,KIA,2007,18,246229.02,Diesel,Manual,1695
Ford Ka,FORD,2007,18,246229.02,Diesel,Manual,1695
Vauxhall Zafira,VAUXHALL,2007,18,246229.02,Diesel,Manual,1695
Ford S-Max,FORD,2007,18,246229.02,Diesel,Manual,1695
Peugeot 207,PEUGEOT,2014,11,305694.133,Diesel,Manual,1695
Ford Fiesta,FORD,2014,11,305694.133,Diesel,Manual,1695
Seat Ibiza,SEAT,2014,11,305694.133,Diesel,Manual,1695
Renault Megane,RENAULT,2014,11,305694.133,Diesel,Manual,1695
Ford Transit Connect,FORD,2014,11,305694.133,Diesel,Manual,1695
Toyota Rav4,TOYOTA,2014,11,305694.133,Diesel,Manual,1695
Vauxhall Zafira,VAUXHALL,2014,11,305694.133,Diesel,Manual,1695
Mercedes A Class,MERCEDES,2014,11,305694.133,Diesel,Manual,1695
Nissan Note,NISSAN,2014,11,305694.133,Diesel,Manual,1695
Toyota Aygo,TOYOTA,2014,11,305694.133,Diesel,Manual,1695
Vauxhall Astra,VAUXHALL,2014,11,305694.133,Diesel,Manual,1695
Volkswagen Golf,VOLKSWAGEN,2014,11,305694.133,Diesel,Manual,1695
Ford Mondeo,FORD,2014,11,305694.133,Diesel,Manual,1695
Fiat 500,FIAT,2006,19,96560.4,Petrol,Manual,1695
Vauxhall Corsa,VAUXHALL,2006,19,96560.4,Petrol,Manual,1695
Citroen C1,CITROEN,2006,19,96560.4,Petrol,Manual,1695
Renault Clio,RENAULT,2006,19,96560.4,Petrol,Manual,1695
Peugeot 3008,PEUGEOT,2006,19,96560.4,Petrol,Manual,1695
Mazda Mazda 6,MAZDA,2006,19,96560.4,Petrol,Manual,1695
Nissan Qashqai,NISSAN,2006,19,96560.4,Petrol,Manual,1695
Vauxhall Astra,VAUXHALL,2006,19,96560.4,Petrol,Manual,1695
Ford Fusion,FORD,2006,19,96560.4,Petrol,Manual,1695
Renault Megane,RENAULT,2006,19,96560.4,Petrol,Manual,1695
Hyundai I20,HYUNDAI,2006,19,96560.4,Petrol,Manual,1695
Ford Fiesta,FORD,2006,19,96560.4,Petrol,Manual,1695
Toyota Auris,TOYOTA,2006,19,96560.4,Petrol,Manual,1695
Nissan Qashqai,NISSAN,2006,19,96560.4,Petrol,Manual,1695
Ford Fiesta,FORD,2006,19,96560.4,Petrol,Manual,1695
Nissan Note,NISSAN,2009,16,169677.54422,Petrol,Manual,1695
Nissan Note,NISSAN,2009,16,169677.54422,Petrol,Manual,1695
Peugeot Partner,PEUGEOT,2009,16,169677.54422,Petrol,Manual,1695
Ford Ka,FORD,2009,16,169677.54422,Petrol,Manual,1695
Honda Cr-V,HONDA,2009,16,169677.54422,Petrol,Manual,1695
Volkswagen Passat,VOLKSWAGEN,2009,16,169677.54422,Petrol,Manual,1695
Audi A3,AUDI,2009,16,169677.54422,Petrol,Manual,1695
Peugeot 207,PEUGEOT,2009,16,169677.54422,Petrol,Manual,1695
Suzuki Swift,SUZUKI,2009,16,169677.54422,Petrol,Manual,1695
Peugeot 308,PEUGEOT,2009,16,169677.54422,Petrol,Manual,1695
Renault Clio,RENAULT,2009,16,169677.54422,Petrol,Manual,1697
Renault Clio,RENAULT,2009,16,169677.54422,Petrol,Manual,1699
Nissan Micra,NISSAN,2009,16,169677.54422,Petrol,Manual,1699
Suzuki Swift,SUZUKI,2009,16,169677.54422,Petrol,Manual,1699
Toyota Yaris,TOYOTA,2009,16,169677.54422,Petrol,Manual,1699
Toyota Aygo,TOYOTA,2009,16,169677.54422,Petrol,Manual,1699
Toyota Yaris,TOYOTA,2010,15,107420.22632,Petrol,Manual,1699
Vauxhall Corsa,VAUXHALL,2010,15,107420.22632,Petrol,Manual,1699
Alfa Romeo Mito,ALFA,2010,15,107420.22632,Petrol,Manual,1699
Peugeot 107,PEUGEOT,2010,15,107420.22632,Petrol,Manual,1699
Volvo S60,VOLVO,2010,15,107420.22632,Petrol,Manual,1699
Peugeot 208,PEUGEOT,2010,15,107420.22632,Petrol,Manual,1699
Renault Clio,RENAULT,2010,15,107420.22632,Petrol,Manual,1699
Volkswagen Polo,VOLKSWAGEN,2010,15,107420.22632,Petrol,Manual,1699
Ford Focus,FORD,2010,15,107420.22632,Petrol,Manual,1700
Honda Jazz,HONDA,2010,15,107420.22632,Petrol,Manual,1700
Vauxhall Corsa,VAUXHALL,2010,15,107420.22632,Petrol,Manual,1700
Citroen C1,CITROEN,2010,15,107420.22632,Petrol,Manual,1700
